"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Riddle, J.M.","Riddle, John M. (60194757500)","60194757500","From Pennyroyal to Mifepristone: What Demographers Missed about Birth Control?","2026","Journal of Family History","51","1","","51","68","0","0","10.1177/03631990251384503","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021880482&doi=10.1177%2F03631990251384503&partnerID=40&md5=cf8581459c33066e9270b893d8f7a71b","Article","Final","","Scopus","2-s2.0-105021880482"
"Mendívil-Tuchia de Tai, S.; Cáceres-Bernaola, U.; Sánchez Morales, S.; Farfán-Garcés, I.; Aguirre-Quispe, W.","Mendívil-Tuchia de Tai, Sabina (57248098300); Cáceres-Bernaola, Ursula (58106334000); Sánchez Morales, Silvya (59751610000); Farfán-Garcés, Isabel (59751753800); Aguirre-Quispe, Wilfor (57190860748)","57248098300; 58106334000; 59751610000; 59751753800; 57190860748","Disseminated cutaneous leishmaniasis with mucosal involvement in a patient with HTLV-1 infection: A case report","2026","Diagnostic Microbiology and Infectious Disease","114","2","117149","","","0","0","10.1016/j.diagmicrobio.2025.117149","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018932633&doi=10.1016%2Fj.diagmicrobio.2025.117149&partnerID=40&md5=ab8e2d85ab5b3bc19a37e895064d4b6b","Article","Final","","Scopus","2-s2.0-105018932633"
"Yari, P.; Alirezalu, A.; Khalili, S.","Yari, Parisa (59567090800); Alirezalu, Abolfazl (36349070700); Khalili, Soghra (59567090900)","59567090800; 36349070700; 59567090900","A comparative study of chemical composition, phenolic compound profile and antioxidant activity of wild grown, field and greenhouse cultivated Physalis (P. alkekengi and P. peruviana)","2025","Food Production, Processing and Nutrition","7","1","19","","","0","2","10.1186/s43014-024-00287-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218410529&doi=10.1186%2Fs43014-024-00287-9&partnerID=40&md5=cccfad97eaacec27d42636fd0b62a7d0","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85218410529"
"Mena-Chacón, L.M.; Quispe-Sanchez, L.; Huaman-Pilco, A.F.; Chávez-Chacón, E.; Oblitas-Delgado, R.; Basilio-Atencio, J.; Aquino, B.; Garcia, N.; Yoplac, I.","Mena-Chacón, Laydy Mitsu (57206263227); Quispe-Sanchez, Luz (57944866000); Huaman-Pilco, Angel Fernando (58088630600); Chávez-Chacón, Elmer (60209675500); Oblitas-Delgado, Robin (60209154000); Basilio-Atencio, Jaime (57204588692); Aquino, Biviana (60209930300); Garcia, Nayeli (60209675600); Yoplac, Ives (57211152122)","57206263227; 57944866000; 58088630600; 60209675500; 60209154000; 57204588692; 60209930300; 60209675600; 57211152122","Lemon verbena (Aloysia citriodora) essential oil: Physicochemical characterization, microencapsulation, and application in starch-based bioplastics","2025","Applied Food Research","5","2","101530","","","0","0","10.1016/j.afres.2025.101530","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022851702&doi=10.1016%2Fj.afres.2025.101530&partnerID=40&md5=0e49d5ef4f12eeb2d88549721afac7dd","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105022851702"
"Vasquez-Vargas, M.; Rodriguez, N.","Vasquez-Vargas, Melvin Yonner (59908200000); Rodriguez, Nestor (60190484000)","59908200000; 60190484000","Cytostatic and genotoxic effects of Dracontium loretense infusion in the cell cycle of Allium cepa L.","2025","Pharmacological Research - Natural Products","9","","100415","","","0","0","10.1016/j.prenap.2025.100415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021537834&doi=10.1016%2Fj.prenap.2025.100415&partnerID=40&md5=9801a7112deb5328c93e24b2493ded03","Article","Final","","Scopus","2-s2.0-105021537834"
"Quispe-Sanchez, L.; Mena-Chacón, L.M.; Medina-Bocanegra, D.; Iliquin-Inga, I.M.; Oblitas, R.; Chicana, F.; Huaman-Pilco, A.F.; Hernandez-Diaz, E.; Vigo, C.N.; Oliva-Cruz, M.","Quispe-Sanchez, Luz (57944866000); Mena-Chacón, Laydy Mitsu (57206263227); Medina-Bocanegra, D. A. (59712945000); Iliquin-Inga, Ingrid M. (57214452736); Oblitas, Robin (59700397100); Chicana, Fiorella (59700397000); Huaman-Pilco, Angel Fernando (58088630600); Hernandez-Diaz, Elgar (57219247308); Vigo, Carmen N. (58899087100); Oliva-Cruz, Manuel (60111658300)","57944866000; 57206263227; 59712945000; 57214452736; 59700397100; 59700397000; 58088630600; 57219247308; 58899087100; 60111658300","Microencapsulation of essential oils from Origanum vulgare L. and Minthostachys mollis: Physicochemical properties and antimicrobial activity","2025","Journal of Agriculture and Food Research","24","","102452","","","0","0","10.1016/j.jafr.2025.102452","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021212645&doi=10.1016%2Fj.jafr.2025.102452&partnerID=40&md5=17e8b2a5bb4bc436eaf03856fec63a60","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105021212645"
"Espinoza-Rivera, J.; Chávez-Flores, J.; Serván-Meléndez, J.; Lozada-Urbano, M.; Rosales-Rimache, J.","Espinoza-Rivera, Julia (60152913700); Chávez-Flores, Juana E. (59862690200); Serván-Meléndez, Janet (60152913800); Lozada-Urbano, Michelle F. (56520235900); Rosales-Rimache, Jaime Alonso (56006601700)","60152913700; 59862690200; 60152913800; 56520235900; 56006601700","Acute toxicity evaluation of the ethanol extract from Minquartia Guianensis Aubl (Huacapú) leaves: hematological and histopathological analysis in an animal model","2025","BMC Complementary Medicine and Therapies","25","1","397","","","0","0","10.1186/s12906-025-05092-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019612473&doi=10.1186%2Fs12906-025-05092-6&partnerID=40&md5=9e1f94b80066e792af2ab02a95a3c3c1","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105019612473"
"Alegre-Tamariz, J.; Sánchez-Medina, J.; Runzer-Colmenares, F.M.; Ávila-Rodríguez, C.; Bermejo-Franco, A.; Parodi, J.F.","Alegre-Tamariz, José (59361370900); Sánchez-Medina, Jeimmy (60149534300); Runzer-Colmenares, Fernando M. (57212248677); Ávila-Rodríguez, Cesar (60150249400); Bermejo-Franco, Alberto (57208719941); Parodi, José F. (56450450100)","59361370900; 60149534300; 57212248677; 60150249400; 57208719941; 56450450100","Impact of a functional gait training program as a complementary strategy to improve physical function in older adults: a randomized clinical trial","2025","BMC Geriatrics","25","1","789","","","0","0","10.1186/s12877-025-06471-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019339529&doi=10.1186%2Fs12877-025-06471-x&partnerID=40&md5=7dbce8fc6d3e904d2b22b90ee054f791","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105019339529"
"Urbina-Alarcón, J.; Angulo, A.; Abarca, V.E.; Elías, D.A.","Urbina-Alarcón, Javier (60123180300); Angulo, Ana (60122948000); Abarca, Victoria E. (57211019200); Elías, Dante A. (7202565197)","60123180300; 60122948000; 57211019200; 7202565197","Evaluation of wrist and finger function in healthy children through music-based video game therapy","2025","Journal of NeuroEngineering and Rehabilitation","22","1","198","","","0","0","10.1186/s12984-025-01742-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017597978&doi=10.1186%2Fs12984-025-01742-5&partnerID=40&md5=477e0f5a484dbe9b48ea7bc7b7d73a50","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105017597978"
"Acosta-Enriquez, B.G.; Huamani Jordan, O.; Morales-Angaspilco, J.E.; Heredia-Pérez, O.; Ruiz Carrillo, J.R.; Blanco-García, L.E.; Veliz Palacios de Villalobos, S.M.","Acosta-Enriquez, Benicio Gonzalo (58618640900); Huamani Jordan, Olger (58928821100); Morales-Angaspilco, Jahaira Eulalia Eulalia (59558191500); Heredia-Pérez, Oscar (60119918200); Ruiz Carrillo, Jonathan Alexander (57197799031); Blanco-García, Luz Elvira (59919157400); Veliz Palacios de Villalobos, Sonia Mercedes (60119646000)","58618640900; 58928821100; 59558191500; 60119918200; 57197799031; 59919157400; 60119646000","The mediating role of work stress and the performance expectations in the effect of academic overload on the use of AI models among preservice teachers: a cross-sectional study","2025","BMC Psychology","13","1","1026","","","0","0","10.1186/s40359-025-03367-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017415954&doi=10.1186%2Fs40359-025-03367-8&partnerID=40&md5=6f3cf80ced1b9162aeacd7cd477ebac5","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105017415954"
